,primary_city,latitude,longitude
194,Alief,29.7,-95.58
195,Aline,36.5,-98.44
196,Aliquippa,40.61,-80.25
197,Aliso Viejo,33.67,-117.83
198,Alix,35.42,-93.72
199,Alkol,38.17,-81.99
200,Allakaket,66.57,-152.95
201,Allamuchy,40.91,-74.83
202,Allardt,36.38,-84.88
203,Alledonia,39.89,-80.95
204,Alleene,33.66,-94.14
205,Allegan,42.52,-85.84
206,Allegany,43.42,-124.03
207,Alleghany,39.46,-120.84
208,Alleman,41.81,-93.61
209,Allen,43.28,-101.92
210,Allendale,42.98,-85.95
211,Allenhurst,40.23,-74.0
212,Allen Junction,37.59,-81.35
213,Allen Park,42.25,-83.21
214,Allenport,40.09,-79.85
215,Allenspark,40.2,-105.52
216,Allensville,40.53,-77.81
217,Allenton,43.47,-88.35
218,Allentown,42.06,-78.01
219,Allenwood,41.09,-76.9
220,Allerton,40.7,-93.36
221,Alleyton,29.74,-96.46
222,Allgood,33.9,-86.51
223,Alliance,42.1,-102.87
224,Alligator,34.08,-90.72
225,Allison,42.75,-92.79
226,Allison Park,40.57,-79.95
227,Allons,36.51,-85.32
228,Allouez,47.28,-88.4
229,Alloway,39.56,-75.34
230,Alloy,38.13,-81.24
231,Allport,40.97,-78.21
232,Allred,36.36,-85.19
233,Allston,42.35,-71.13
234,Allyn,47.37,-122.84
235,Alma,44.33,-91.92
236,Alma Center,44.43,-90.91
237,Almelund,45.52,-92.87
238,Almena,45.41,-92.03
239,Almira,47.72,-118.93
240,Almo,42.06,-113.59
241,Almond,44.26,-89.4
242,Almont,46.72,-101.5
243,Almyra,34.4,-91.41
244,Alna,44.1,-69.6
245,Alpaugh,35.86,-119.46
246,Alpena,45.07,-83.43
247,Alpha,46.04,-88.37
248,Alpharetta,34.06,-84.27
249,Alpine,43.16,-111.01
250,Alplaus,42.85,-73.9
251,Alsea,44.35,-123.65
252,Alsen,48.62,-98.7
253,Alsey,39.55,-90.43
254,Alsip,41.67,-87.73
255,Alstead,43.15,-72.36
256,Alston,32.08,-82.47
257,Alta,43.75,-111.04
258,Altadena,34.2,-118.13
259,Altair,29.57,-96.48
260,Altamahaw,36.17,-79.5
261,Altamont,42.7,-74.03
262,Altamonte Springs,28.66,-81.39
263,Altaville,38.07,-120.55
264,Altavista,37.12,-79.28
265,Alta Vista,43.19,-92.41
266,Altenburg,37.63,-89.58
267,Altha,30.57,-85.12
268,Altheimer,34.31,-91.84
269,Altmar,43.51,-76.0
270,Alto,42.85,-85.38
271,Alton,43.45,-71.21
272,Altona,44.89,-73.65
273,Altonah,40.47,-110.32
274,Alton Bay,43.48,-71.24
275,Altoona,44.8,-91.44
276,Alto Pass,37.57,-89.31
277,Altura,44.06,-91.93
278,Alturas,41.43,-120.53
279,Altus,35.44,-93.76
280,Altus Afb,34.65,-99.28
281,Alum Bank,40.19,-78.62
282,Alum Bridge,39.04,-80.69
283,Alum Creek,38.28,-81.84
284,Alva,44.7,-104.45
285,Alvada,41.04,-83.39
286,Alvadore,44.12,-123.26
287,Alvarado,48.19,-96.99
288,Alvaton,36.86,-86.35
289,Alverda,40.63,-78.87
290,Alverton,40.12,-79.56
291,Alvin,40.3,-87.6
292,Alviso,37.44,-121.99
293,Alvo,40.87,-96.38
294,Alvord,43.34,-96.3
295,Alvordton,41.66,-84.43
296,Alzada,45.23,-104.53
297,Ama,29.85,-90.28
298,Amado,31.71,-111.02
299,Amador City,38.43,-120.84
300,Amagansett,40.98,-72.18
301,Amagon,35.56,-91.11
302,Amalia,36.94,-105.45
303,Amana,41.8,-91.86
304,Amanda,39.65,-82.74
305,Amanda Park,47.47,-123.92
306,Amargosa Valley,36.53,-116.47
307,Amarillo,35.26,-101.71
308,Amasa,46.23,-88.45
309,Amawalk,41.29,-73.76
310,Amazonia,39.88,-94.89
311,Amber,35.16,-97.88
312,Amberg,45.5,-88.0
313,Amberson,40.16,-77.7
314,Ambia,40.48,-87.51
315,Ambler,67.08,-157.9
316,Amboy,45.93,-122.44
317,Ambridge,40.59,-80.22
318,Ambrose,48.95,-103.48
319,Amelia,42.23,-98.96
320,Amelia Court House,37.34,-77.96
321,Amenia,47.0,-97.22
322,American Canyon,38.18,-122.25
323,American Falls,42.72,-112.99
324,American Fork,40.39,-111.78
325,Americus,38.5,-96.26
326,Amery,45.3,-92.36
327,Ames,42.02,-93.62
328,Amesbury,42.85,-70.92
329,Amesville,39.4,-81.95
330,Amherst,45.73,-97.92
331,Amherstdale,37.8,-81.75
332,Amherst Junction,44.46,-89.31
333,Amidon,46.48,-103.31
334,Amigo,37.59,-81.34
335,Amissville,38.67,-77.99
336,Amistad,35.91,-103.15
337,Amite,30.73,-90.51
338,Amity,45.1,-123.23
339,Amityville,40.68,-73.41
340,Amlin,40.07,-83.18
341,Amma,38.54,-81.24
342,Ammon,37.21,-77.76
343,Amo,39.68,-86.61
344,Amonate,37.18,-81.65
345,Amoret,38.25,-94.58
346,Amorita,36.92,-98.29
347,Amory,33.98,-88.48
348,Amsterdam,42.94,-74.19
349,Amston,41.62,-72.37
350,Anabel,39.75,-92.35
351,Anacoco,31.25,-93.34
352,Anaconda,46.12,-112.97
353,Anacortes,48.46,-122.6
354,Anadarko,35.06,-98.24
355,Anaheim,33.86,-117.74
356,Anahola,22.14,-159.31
357,Anahuac,29.76,-94.67
358,Anaktuvuk Pass,68.15,-151.71
359,Analomink,41.0,-75.28
360,Anamoose,47.88,-100.24
361,Anamosa,42.1,-91.28
362,Anasco,18.28,-67.14
363,Anatone,46.08,-117.27
364,Anawalt,37.33,-81.44
365,Anchor,40.56,-88.53
366,Anchorage,61.45,-150.63
367,Anchor Point,59.82,-151.59
368,Anchorville,42.69,-82.69
369,Ancona,41.05,-88.76
370,Ancram,42.05,-73.63
371,Ancramdale,42.03,-73.57
372,Andale,37.79,-97.62
373,Andalusia,41.43,-90.72
374,Anderson,64.2,-148.97
375,Anderson Island,47.15,-122.7
376,Andersonville,36.2,-84.04
377,Andes,42.18,-74.78
378,Andover,45.41,-97.9
379,Andreas,40.74,-75.82
380,Andrew,42.15,-90.59
381,Andrews,40.85,-85.6
382,Andrews Air Force Base,38.8,-76.87
383,Aneta,47.67,-97.98
384,Aneth,37.2,-109.29
385,Angela,46.67,-106.39
386,Angeles,18.28,-66.79
387,Angel Fire,36.39,-105.27
388,Angelica,42.3,-78.02
389,Angels Camp,38.04,-120.61
390,Angelus Oaks,34.18,-116.86
391,Angie,30.96,-89.81
392,Angier,35.51,-78.73
393,Angle Inlet,49.21,-94.97
394,Angleton,29.16,-95.42
395,Angola,42.63,-79.02
396,Angoon,57.44,-134.48
397,Angora,47.77,-92.63
398,Anguilla,32.97,-90.82
399,Angwin,38.57,-122.44
400,Aniak,61.2,-158.6
401,Animas,31.94,-108.83
402,Anita,41.44,-94.76
403,Aniwa,45.01,-89.2
404,Ankeny,41.72,-93.6
405,Anmoore,39.25,-80.29
406,Anna,40.39,-84.17
407,Annabella,38.71,-112.06
408,Annada,39.26,-90.82
409,Anna Maria,27.53,-82.73
410,Annandale,45.26,-94.11
411,Annandale On Hudson,41.99,-73.83
412,Annapolis,39.15,-87.81
413,Annapolis Junction,39.12,-76.77
414,Ann Arbor,42.27,-83.73
415,Annawan,41.39,-89.9
416,Annemanie,32.07,-87.56
417,Anniston,36.82,-89.32
418,Annona,33.58,-94.91
419,Annville,40.33,-76.5
420,Anoka,45.21,-93.39
421,Anselmo,41.61,-99.86
422,Ansley,41.28,-99.38
423,Anson,44.79,-69.88
424,Ansonia,41.34,-73.06
425,Ansonville,35.1,-80.1
426,Ansted,38.13,-81.1
427,Antelope,48.69,-104.36
428,Antes Fort,41.23,-77.04
429,Anthon,42.38,-95.86
430,Anthony,37.15,-98.02
431,Antigo,45.14,-89.15
432,Antimony,38.09,-112.0
433,Antioch,42.47,-88.07
434,Antler,48.97,-101.28
435,Antlers,34.23,-95.61
436,Antoine,34.03,-93.42
437,Anton,39.75,-103.22
438,Anton Chico,35.2,-105.14
439,Antonito,37.07,-106.01
440,Antrim,43.03,-71.94
441,Antwerp,44.19,-75.6
442,Anvik,62.63,-160.2
