,primary_city,latitude,longitude
1847,Bridge City,30.02,-93.85
1848,Bridgehampton,40.94,-72.29
1849,Bridgeport,47.97,-119.59
1850,Bridger,45.18,-108.54
1851,Bridgeton,39.65,-87.18
1852,Bridgeview,41.73,-87.8
1853,Bridgeville,40.42,-123.52
1854,Bridgewater,46.42,-67.84
1855,Bridgewater Corners,43.6,-72.68
1856,Bridgman,41.94,-86.56
1857,Bridgton,44.06,-70.72
1858,Bridport,43.98,-73.32
1859,Brielle,40.1,-74.06
1860,Brierfield,33.06,-86.98
1861,Brier Hill,44.54,-75.68
1862,Brigantine,39.41,-74.36
1863,Briggs,30.86,-97.91
1864,Briggsdale,40.63,-104.32
1865,Briggsville,43.68,-89.57
1866,Brigham City,41.51,-112.04
1867,Brighton,42.53,-83.78
1868,Brightwaters,40.71,-73.26
1869,Brightwood,45.36,-121.99
1870,Brill,45.6,-91.67
1871,Brilliant,40.26,-80.62
1872,Brillion,44.17,-88.06
1873,Brimfield,42.11,-72.2
1874,Brimhall,35.8,-108.57
1875,Brimley,46.4,-84.57
1876,Brimson,47.27,-91.86
1877,Bringhurst,40.51,-86.52
1878,Brinkhaven,40.47,-82.19
1879,Brinkley,34.88,-91.18
1880,Brinklow,39.18,-77.01
1881,Brinktown,38.12,-92.07
1882,Brinnon,47.69,-122.99
1883,Brinson,30.94,-84.71
1884,Brisbane,37.68,-122.41
1885,Brisbin,40.83,-78.35
1886,Briscoe,35.58,-100.28
1887,Bristol,45.34,-97.74
1888,Bristolville,41.38,-80.87
1889,Bristow,42.83,-98.58
1890,Britt,47.64,-92.68
1891,Brittany,30.2,-90.93
1892,Britton,45.78,-97.74
1893,Brixey,36.75,-92.4
1894,Broadalbin,43.05,-74.19
1895,Broadbent,42.96,-124.17
1896,Broad Brook,41.9,-72.54
1897,Broaddus,31.3,-94.26
1898,Broadford,36.91,-81.66
1899,Broadlands,39.9,-87.99
1900,Broad Run,38.81,-77.72
1901,Broad Top,40.2,-78.14
1902,Broadus,45.39,-105.5
1903,Broadview,46.07,-108.87
1904,Broadview Heights,41.31,-81.67
1905,Broadwater,41.59,-102.85
1906,Broadway,40.71,-75.05
1907,Brock,40.48,-95.95
1908,Brocket,48.21,-98.35
1909,Brockport,43.21,-77.94
1910,Brockton,48.27,-104.82
1911,Brockway,47.07,-105.86
1912,Brockwell,36.13,-91.96
1913,Brocton,42.38,-79.44
1914,Brodhead,42.61,-89.37
1915,Brodheadsville,40.92,-75.4
1916,Brodnax,36.7,-78.03
1917,Brogan,44.15,-117.67
1918,Brogue,39.86,-76.45
1919,Brohard,39.02,-81.19
1920,Brohman,43.67,-85.82
1921,Brokaw,45.02,-89.65
1922,Broken Arrow,36.03,-95.78
1923,Broken Bow,41.4,-99.63
1924,Bromide,34.41,-96.49
1925,Bronaugh,37.69,-94.46
1926,Bronson,42.4,-96.21
1927,Bronston,36.98,-84.61
1928,Bronte,31.88,-100.29
1929,Bronwood,31.82,-84.32
1930,Bronx,40.84,-73.87
1931,Bronxville,40.93,-73.82
1932,Brook,40.86,-87.36
1933,Brookdale,37.1,-122.11
1934,Brooke,38.37,-77.34
1935,Brookeland,31.09,-93.97
1936,Brooker,29.88,-82.33
1937,Brookesmith,31.55,-99.11
1938,Brookeville,39.17,-77.05
1939,Brookfield,44.05,-72.6
1940,Brookhaven,40.78,-72.91
1941,Brookings,44.3,-96.78
1942,Brookland,35.9,-90.58
1943,Brooklandville,39.42,-76.67
1944,Brooklet,32.38,-81.66
1945,Brooklin,44.26,-68.56
1946,Brookline,42.73,-71.66
1947,Brookline Village,42.33,-71.13
1948,Brooklyn,42.85,-89.37
1949,Brookneal,37.05,-78.94
1950,Brookpark,41.4,-81.82
1951,Brook Park,45.94,-93.07
1952,Brookport,37.12,-88.62
1953,Brooks,47.81,-96.0
1954,Brookshire,29.78,-95.95
1955,Brookside,40.76,-74.6
1956,Brookston,46.86,-92.6
1957,Brooksville,44.34,-68.68
1958,Brookton,45.52,-67.76
1959,Brooktondale,42.38,-76.39
1960,Brookville,41.16,-79.08
1961,Brookwood,33.24,-87.32
1962,Broomall,39.96,-75.35
1963,Broomes Island,38.41,-76.54
1964,Broomfield,39.96,-105.02
1965,Brooten,45.5,-95.11
1966,Broseley,36.7,-90.23
1967,Brothers,43.74,-120.38
1968,Broughton,37.93,-88.46
1969,Broussard,30.15,-91.97
1970,Browder,37.27,-87.01
1971,Browerville,46.08,-94.86
1972,Brown City,43.21,-82.98
1973,Brownell,38.64,-99.74
1974,Brownfield,43.93,-70.9
1975,Browning,48.59,-113.27
1976,Browns,38.37,-87.98
1977,Brownsboro,34.7,-86.46
1978,Brownsburg,39.84,-86.39
1979,Brownsdale,43.74,-92.86
1980,Browns Mills,39.95,-74.55
1981,Browns Summit,36.2,-79.69
1982,Brownstown,46.4,-120.6
1983,Browns Valley,45.59,-96.83
1984,Brownsville,44.38,-122.94
1985,Brownton,44.73,-94.35
1986,Browntown,42.57,-89.79
1987,Brownville,45.3,-69.03
1988,Brownville Junction,45.35,-69.05
1989,Brownwood,37.07,-89.96
1990,Broxton,31.62,-82.88
1991,Bruce,45.45,-91.27
1992,Bruce Crossing,46.51,-89.21
1993,Bruceton,36.03,-88.24
1994,Bruceton Mills,39.65,-79.64
1995,Brucetown,39.25,-78.05
1996,Bruceville,38.75,-87.41
1997,Bruin,41.05,-79.72
1998,Bruington,37.77,-76.93
1999,Brule,46.55,-91.57
2000,Brumley,38.08,-92.48
2001,Brundidge,31.71,-85.81
2002,Bruneau,42.57,-115.85
2003,Bruner,37.01,-92.98
2004,Bruni,27.42,-98.84
2005,Bruning,40.33,-97.56
2006,Bruno,46.28,-92.66
2007,Brunson,32.92,-81.18
2008,Brunsville,42.81,-96.26
2009,Brunswick,43.91,-69.96
2010,Brusett,47.45,-107.54
2011,Brush,40.25,-103.63
2012,Brush Creek,36.11,-86.01
2013,Brush Prairie,45.73,-122.45
2014,Brushton,44.83,-74.51
2015,Brush Valley,40.53,-79.06
2016,Brusly,30.39,-91.25
2017,Brussels,44.73,-87.63
2018,Brutus,45.5,-84.75
2019,Bryan,41.47,-84.54
2020,Bryans Road,38.63,-77.07
2021,Bryant,45.2,-89.01
2022,Bryantown,38.55,-76.84
2023,Bryant Pond,44.37,-70.64
2024,Bryants Store,36.77,-83.92
2025,Bryantsville,37.71,-84.65
2026,Bryantville,42.06,-70.8
2027,Bryce,37.63,-112.2
2028,Bryce Canyon,37.62,-112.17
2029,Bryceville,30.38,-81.93
2030,Bryn Athyn,40.13,-75.06
2031,Bryn Mawr,40.02,-75.31
2032,Bryson,33.15,-98.38
2033,Bryson City,35.42,-83.44
2034,Buchanan,47.06,-98.82
2035,Buchanan Dam,30.79,-98.43
2036,Buchtel,39.46,-82.18
2037,Buckatunna,31.53,-88.52
2038,Buck Creek,40.48,-86.76
2039,Buckeye,42.41,-93.37
2040,Buckeye Lake,39.93,-82.47
2041,Buckeystown,39.33,-77.43
2042,Buckfield,44.28,-70.36
2043,Buckhannon,38.98,-80.22
2044,Buckhead,33.56,-83.36
2045,Buck Hill Falls,41.16,-75.27
2046,Buckholts,30.87,-97.12
2047,Buckhorn,37.34,-83.47
2048,Buckingham,42.25,-92.41
2049,Buckland,65.97,-161.13
2050,Buckley,47.13,-122.04
2051,Bucklin,39.78,-92.88
2052,Buckman,45.89,-94.09
2053,Buckner,39.13,-94.19
2054,Bucks,31.01,-88.02
2055,Buckskin,38.22,-87.43
2056,Bucksport,44.6,-68.79
2057,Bucoda,46.78,-122.84
2058,Bucyrus,40.8,-82.97
2059,Bud,37.52,-81.35
2060,Buda,41.32,-89.67
2061,Budd Lake,40.87,-74.73
2062,Bude,31.46,-90.85
2063,Buellton,34.61,-120.22
2064,Buena,46.42,-120.29
2065,Buena Park,33.87,-117.99
2066,Buena Vista,40.28,-79.79
2067,Buffalo,46.92,-97.55
2068,Buffalo Center,43.38,-93.94
2069,Buffalo Creek,39.38,-105.27
2070,Buffalo Gap,43.49,-103.31
2071,Buffalo Grove,42.16,-87.96
2072,Buffalo Junction,36.6,-78.63
2073,Buffalo Lake,44.73,-94.61
2074,Buffalo Mills,39.92,-78.63
2075,Buffalo Prairie,41.33,-90.85
2076,Buffalo Valley,36.18,-85.75
2077,Buford,41.11,-105.3
2078,Buhl,47.49,-92.76
2079,Buhler,38.13,-97.77
2080,Buies Creek,35.4,-78.74
2081,Bula,33.86,-102.67
2082,Bulan,37.29,-83.16
2083,Bulger,40.42,-80.35
2084,Bullard,32.14,-95.31
2085,Bullhead,45.76,-101.08
2086,Bullhead City,35.28,-114.49
2087,Bullock,36.5,-78.55
2088,Bulls Gap,36.26,-83.07
2089,Bull Shoals,36.37,-92.58
2090,Bullville,41.58,-74.29
2091,Bulpitt,39.59,-89.42
2092,Bulverde,29.73,-98.45
2093,Bumpass,37.96,-77.73
2094,Bumpus Mills,36.62,-87.85
2095,Buna,30.44,-93.96
2096,Bunceton,38.78,-92.79
2097,Bunch,35.68,-94.77
2098,Buncombe,37.47,-88.97
2099,Bunker,37.45,-91.21
2100,Bunker Hill,40.66,-86.1
2101,Bunkerville,36.72,-114.14
2102,Bunkie,30.95,-92.18
2103,Bunn,35.95,-78.25
2104,Bunnell,29.46,-81.25
2105,Bunnlevel,35.29,-78.83
2106,Bunola,40.23,-79.95
2107,Buras,29.34,-89.49
2108,Burbank,46.22,-118.82
2109,Burchard,40.14,-96.34
2110,Burden,37.31,-96.75
2111,Burdett,42.41,-76.84
2112,Burdette,35.81,-89.94
2113,Burdick,38.57,-96.83
2114,Burdine,37.18,-82.6
2115,Bureau,41.28,-89.36
2116,Burfordville,37.35,-89.81
2117,Burgaw,34.55,-77.92
2118,Burgess,37.88,-76.34
2119,Burgettstown,40.38,-80.39
2120,Burghill,41.33,-80.54
2121,Burgin,37.75,-84.76
2122,Burgoon,41.26,-83.25
2123,Burkburnett,34.07,-98.56
2124,Burke,44.9,-74.17
2125,Burkes Garden,37.1,-81.35
2126,Burkesville,36.79,-85.36
2127,Burket,41.15,-85.96
2128,Burkett,31.99,-99.22
2129,Burkettsville,40.35,-84.64
2130,Burkeville,37.18,-78.2
2131,Burkittsville,39.39,-77.62
2132,Burleson,32.53,-97.32
2133,Burley,47.41,-122.63
2134,Burlingame,38.75,-95.83
2135,Burlingham,41.59,-74.38
2136,Burlington,48.53,-122.31
2137,Burlington Flats,42.74,-75.18
2138,Burlington Junction,40.45,-95.06
2139,Burlison,35.55,-89.78
2140,Burna,37.21,-88.4
2141,Burnet,30.76,-98.22
2142,Burnett,43.52,-88.7
2143,Burnettsville,40.76,-86.59
2144,Burney,40.94,-121.74
2145,Burneyville,33.9,-97.28
2146,Burnham,44.69,-69.42
2147,Burnips,42.73,-85.83
2148,Burns,43.59,-118.89
2149,Burns Flat,35.35,-99.17
2150,Burnside,42.33,-94.11
2151,Burnsville,44.76,-93.27
2152,Burnt Cabins,40.06,-77.9
2153,Burnt Hills,42.91,-73.9
2154,Burnt Prairie,38.25,-88.25
2155,Burnt Ranch,40.95,-123.43
2156,Burnwell,33.6,-87.14
2157,Burr,40.53,-96.29
2158,Burrel,36.48,-119.98
2159,Burr Hill,38.34,-77.86
2160,Burr Oak,41.84,-85.32
2161,Burrows,40.66,-86.51
2162,Burrton,38.02,-97.67
2163,Burson,38.18,-120.88
2164,Burt,43.31,-78.71
2165,Burt Lake,45.43,-84.71
2166,Burton,47.38,-122.45
2167,Burtonsville,39.11,-76.93
2168,Burtrum,45.86,-94.68
2169,Burwell,41.78,-99.13
2170,Busby,45.44,-107.04
2171,Bush,37.09,-83.87
2172,Bushkill,41.09,-75.0
2173,Bushland,35.19,-102.06
2174,Bushnell,41.23,-103.89
2175,Bushton,38.51,-98.39
2176,Bushwood,38.28,-76.78
2177,Buskirk,42.96,-73.45
2178,Bussey,41.2,-92.88
2179,Bustins Island,43.79,-70.07
2180,Busy,37.25,-83.3
2181,Butler,43.1,-88.07
2182,Butlerville,39.12,-85.49
2183,Butner,36.13,-78.77
2184,Butte,47.83,-100.66
2185,Butte City,39.46,-121.93
2186,Butte Des Morts,44.09,-88.65
2187,Butte Falls,42.53,-122.53
2188,Butterfield,43.95,-94.79
2189,Butternut,46.01,-90.49
2190,Buttonwillow,35.43,-119.49
2191,Buttzville,40.82,-75.04
2192,Buxton,47.6,-97.09
2193,Buzzards Bay,41.75,-70.61
2194,Byars,34.87,-97.05
2195,Bybee,36.04,-83.18
2196,Byers,39.71,-104.22
2197,Byesville,39.96,-81.54
2198,Byfield,42.75,-70.93
2199,Byhalia,34.86,-89.68
2200,Bylas,33.07,-110.25
2201,Bynum,48.04,-112.38
2202,Bypro,37.3,-82.7
2203,Byram,32.32,-90.2
2204,Byrdstown,36.57,-85.13
2205,Byrnedale,41.31,-78.48
2206,Byromville,32.2,-83.9
2207,Byron,44.79,-108.5
2208,Byron Center,42.81,-85.72
2209,Caballo,32.97,-107.3
2210,Cabazon,33.93,-116.77
2211,Cabery,40.99,-88.2
2212,Cabin Creek,38.17,-81.5
2213,Cabin John,38.97,-77.16
2214,Cabins,38.99,-79.2
2215,Cable,46.19,-91.3
2216,Cabool,37.12,-92.1
2217,Cabo Rojo,18.08,-67.14
2218,Cabot,44.4,-72.31
2219,Cache,34.62,-98.61
2220,Cache Junction,41.82,-111.99
2221,Cactus,36.04,-102.01
2222,Caddo,34.13,-96.26
2223,Caddo Gap,34.41,-93.64
2224,Caddo Mills,33.06,-96.22
2225,Cade,30.08,-91.9
2226,Cades,33.78,-79.78
2227,Cadet,37.98,-90.68
2228,Cadillac,44.24,-85.41
2229,Cadiz,40.26,-80.99
2230,Cadogan,40.75,-79.58
2231,Cadott,44.95,-91.15
2232,Cadwell,32.34,-83.04
2233,Cadyville,44.66,-73.68
2234,Caguas,18.23,-66.03
2235,Cahone,37.65,-108.82
2236,Cainsville,40.44,-93.77
2237,Cairnbrook,40.11,-78.81
2238,Cairo,42.3,-74.0
2239,Calabasas,34.15,-118.64
2240,Calabash,33.89,-78.57
2241,Calais,45.13,-67.2
2242,Calamus,41.82,-90.75
2243,Calcium,44.03,-75.84
2244,Calder,47.31,-116.09
2245,Caldwell,43.71,-116.74
2246,Cale,33.62,-93.23
2247,Caledonia,47.45,-96.88
2248,Calera,33.93,-96.43
2249,Calexico,32.69,-115.51
2250,Calhan,39.03,-104.29
2251,Calhoun,38.65,-88.04
2252,Calhoun City,33.85,-89.31
2253,Calhoun Falls,34.09,-82.59
2254,Calico Rock,36.12,-92.13
2255,Caliente,37.32,-114.53
2256,Califon,40.71,-74.83
2257,California,40.06,-79.91
2258,California City,35.15,-117.92
2259,California Hot Springs,35.87,-118.65
2260,Calimesa,33.97,-117.05
2261,Calion,33.32,-92.53
2262,Calipatria,33.13,-115.52
2263,Calistoga,38.62,-122.61
2264,Call,30.61,-93.87
2265,Callahan,41.36,-122.77
2266,Callands,36.81,-79.58
2267,Callao,39.76,-92.62
2268,Callaway,46.98,-95.91
2269,Callender,42.36,-94.29
2270,Callensburg,41.12,-79.55
2271,Callery,40.73,-80.03
2272,Callicoon,41.76,-75.05
2273,Callicoon Center,41.83,-74.94
2274,Calliham,28.46,-98.35
2275,Calmar,43.17,-91.86
2276,Cal Nev Ari,35.24,-114.87
2277,Calpella,39.15,-123.2
2278,Calpine,39.66,-120.43
2279,Calumet,47.31,-93.26
2280,Calumet City,41.61,-87.54
2281,Calvary,30.72,-84.34
2282,Calvert,31.15,-88.01
2283,Calvert City,37.03,-88.35
2284,Calverton,40.92,-72.76
2285,Calvin,48.85,-98.93
2286,Calypso,35.15,-78.1
2287,Camak,33.45,-82.64
2288,Camanche,41.79,-90.27
2289,Camano Island,48.16,-122.49
2290,Camargo,39.79,-88.16
2291,Camarillo,34.23,-119.07
2292,Camas,45.64,-122.37
2293,Camas Valley,43.05,-123.67
2294,Cambra,41.19,-76.3
2295,Cambria,43.54,-89.11
2296,Cambria Heights,40.69,-73.73
2297,Cambridge,45.56,-93.22
2298,Cambridge City,39.81,-85.17
2299,Cambridgeport,43.15,-72.56
2300,Cambridge Springs,41.8,-80.06
2301,Camby,39.63,-86.3
2302,Camden,44.2,-69.06
2303,Camden On Gauley,38.36,-80.59
2304,Camden Point,39.45,-94.74
2305,Camdenton,38.0,-92.74
2306,Camden Wyoming,39.08,-75.62
2307,Cameron,45.4,-91.74
2308,Cameron Mills,42.18,-77.36
2309,Camilla,31.22,-84.21
2310,Camillus,43.03,-76.3
2311,Camino,38.74,-120.68
2312,Cammal,41.2,-77.26
2313,Camp,36.39,-91.72
2314,Campaign,35.76,-85.64
2315,Campbell,46.09,-96.4
2316,Campbell Hall,41.44,-74.25
2317,Campbell Hill,37.93,-89.55
2318,Campbellsburg,38.65,-86.26
2319,Campbellsport,43.59,-88.28
2320,Campbellsville,37.34,-85.34
2321,Campbellton,30.95,-85.39
2322,Campbelltown,40.27,-76.58
2323,Camp Creek,37.48,-81.1
2324,Camp Crook,45.54,-103.97
2325,Camp Dennison,39.19,-84.28
2326,Camp Douglas,43.91,-90.26
2327,Camp Grove,41.08,-89.63
2328,Camp Hill,40.24,-76.92
2329,Camp H M Smith,21.39,-157.9
2330,Camp Lake,42.53,-88.14
2331,Camp Lejeune,34.68,-77.34
2332,Camp Meeker,38.42,-122.95
2333,Camp Murray,47.25,-122.44
2334,Camp Nelson,36.06,-118.58
2335,Campo,37.1,-102.57
2336,Campobello,35.11,-82.14
2337,Campo Seco,38.23,-120.86
2338,Camp Pendleton,33.29,-117.3
2339,Camp Point,40.03,-91.06
2340,Camp Sherman,44.47,-121.64
2341,Campti,31.89,-93.11
2342,Campton,43.86,-71.63
2343,Camptonville,39.42,-121.11
2344,Camptown,41.73,-76.23
2345,Campus,41.02,-88.3
2346,Camp Verde,34.48,-111.78
2347,Camp Wood,29.66,-100.01
2348,Camuy,18.48,-66.84
2349,Cana,36.58,-80.66
2350,Canaan,45.0,-71.53
2351,Canada,37.6,-82.32
2352,Canadensis,41.24,-75.22
2353,Canadian,35.91,-100.38
2354,Canadys,33.05,-80.62
2355,Canajoharie,42.9,-74.57
2356,Canal Fulton,40.89,-81.58
2357,Canalou,36.75,-89.68
2358,Canal Point,26.86,-80.63
2359,Canal Winchester,39.84,-82.82
2360,Canandaigua,42.88,-77.28
2361,Canaseraga,42.46,-77.77
2362,Canastota,43.08,-75.75
2363,Canby,45.21,-122.66
2364,Candia,43.07,-71.27
2365,Candler,35.53,-82.69
2366,Cando,48.48,-99.2
2367,Candor,42.23,-76.34
2368,Caneadea,42.35,-78.21
2369,Canehill,35.91,-94.4
2370,Cane Valley,37.18,-85.31
2371,Caney,37.01,-95.93
2372,Caneyville,37.42,-86.48
2373,Canfield,41.02,-80.76
2374,Canisteo,42.27,-77.6
2375,Canistota,43.59,-97.29
2376,Canjilon,36.47,-106.43
2377,Canmer,37.28,-85.78
2378,Cannelburg,38.66,-86.99
2379,Cannel City,37.78,-83.27
2380,Cannelton,38.19,-81.27
2381,Cannon,36.91,-83.85
2382,Cannon Afb,34.38,-103.31
2383,Cannon Ball,46.31,-100.63
2384,Cannon Beach,45.92,-123.97
2385,Cannon Falls,44.51,-92.9
2386,Cannonsburg,43.05,-85.46
2387,Cannonville,37.57,-112.08
2388,Canoga Park,34.22,-118.59
2389,Canon,34.34,-83.11
2390,Canon City,38.44,-105.23
2391,Canones,36.18,-106.43
2392,Canonsburg,40.26,-80.18
2393,Canova,43.88,-97.5
2394,Canovanas,18.37,-65.9
2395,Canterbury,43.33,-71.56
2396,Cantil,35.3,-117.95
2397,Canton,44.59,-75.17
2398,Canton Center,41.86,-72.9
2399,Cantonment,30.6,-87.34
2400,Cantrall,39.93,-89.68
2401,Cantril,40.64,-92.06
2402,Cantua Creek,36.45,-120.45
2403,Cantwell,63.33,-148.33
2404,Canute,35.42,-99.27
2405,Canutillo,31.91,-106.59
2406,Canvas,38.26,-80.73
2407,Canyon,47.06,-92.4
2408,Canyon City,44.22,-119.13
2409,Canyon Country,34.43,-118.46
2410,Canyon Creek,46.87,-112.32
2411,Canyon Dam,40.15,-121.12
2412,Canyon Lake,29.87,-98.26
2413,Canyonville,42.94,-123.22
2414,Capac,43.01,-82.92
2415,Capay,38.69,-122.12
2416,Cape Canaveral,28.4,-80.6
2417,Cape Charles,37.27,-76.01
2418,Cape Coral,26.63,-81.99
2419,Cape Elizabeth,43.56,-70.2
2420,Cape Fair,36.72,-93.51
2421,Cape Girardeau,37.3,-89.55
2422,Cape May,38.94,-74.9
2423,Cape May Court House,39.07,-74.82
2424,Cape May Point,38.93,-74.96
2425,Cape Neddick,43.17,-70.61
2426,Cape Porpoise,43.37,-70.43
2427,Capeville,37.2,-75.95
2428,Cape Vincent,44.12,-76.33
2429,Capistrano Beach,33.45,-117.66
2430,Capitan,33.54,-105.59
2431,Capitol,45.46,-104.18
2432,Capitola,36.97,-121.95
2433,Capitol Heights,38.87,-76.9
2434,Caplinger Mills,37.79,-93.8
2435,Capon Bridge,39.29,-78.43
2436,Capon Springs,39.13,-78.48
2437,Caprock,33.39,-103.71
2438,Capron,42.39,-88.74
2439,Capshaw,34.77,-87.01
2440,Captain Cook,19.5,-155.9
2441,Captiva,26.58,-82.21
2442,Capulin,37.28,-106.12
2443,Caputa,43.99,-102.98
2444,Caratunk,45.23,-69.99
2445,Caraway,35.75,-90.33
2446,Carbon,41.04,-94.82
2447,Carbonado,47.01,-121.98
2448,Carbon Cliff,41.49,-90.39
2449,Carbondale,41.57,-75.5
2450,Carbon Hill,39.49,-82.22
2451,Cardale,39.97,-79.84
2452,Cardiff,33.64,-86.92
2453,Cardiff By The Sea,33.01,-117.27
2454,Cardin,36.97,-94.85
2455,Cardinal,37.42,-76.37
2456,Cardington,40.49,-82.89
2457,Cardwell,45.78,-111.98
2458,Carefree,33.82,-111.9
2459,Carencro,30.31,-92.03
2460,Caret,37.98,-76.96
2461,Carey,43.29,-113.64
2462,Careywood,48.06,-116.59
2463,Caribou,46.86,-67.99
2464,Carle Place,40.75,-73.61
2465,Carleton,42.05,-83.38
2466,Carlin,40.73,-116.1
2467,Carlinville,39.28,-89.88
2468,Carlisle,42.74,-74.45
2469,Carl Junction,37.16,-94.54
2470,Carlock,40.58,-89.13
2471,Carlos,45.97,-95.29
2472,Carlotta,40.48,-123.95
2473,Carlsbad,33.16,-117.34
2474,Carlsborg,48.1,-123.17
2475,Carlstadt,40.82,-74.06
2476,Carlton,48.23,-120.28
2477,Carlyle,38.61,-89.37
2478,Carman,40.73,-91.06
2479,Carmel,44.79,-69.05
2480,Carmel By The Sea,36.55,-121.92
2481,Carmel Valley,36.39,-121.65
2482,Carmen,45.36,-113.82
2483,Carmi,38.08,-88.17
2484,Carmichael,38.62,-121.32
2485,Carmichaels,39.89,-79.97
2486,Carmine,30.14,-96.68
2487,Carnation,47.64,-121.89
2488,Carnegie,40.4,-80.08
2489,Carnelian Bay,39.22,-120.08
2490,Carnesville,34.36,-83.23
2491,Carney,45.58,-87.55
2492,Caro,43.48,-83.4
2493,Caroga Lake,43.13,-74.48
2494,Caroleen,35.26,-81.82
2495,Carolina,41.47,-71.64
2496,Carolina Beach,34.04,-77.89
2497,Caroline,44.71,-88.88
2498,Carol Stream,42.03,-88.28
2499,Carpenter,44.63,-97.91
2500,Carpentersville,42.12,-88.27
2501,Carpinteria,34.43,-119.52
2502,Carpio,48.44,-101.71
2503,Carp Lake,45.69,-84.79
2504,Carr,40.9,-104.87
2505,Carrabelle,29.84,-84.67
2506,Carrboro,35.91,-79.08
2507,Carrie,37.33,-83.03
2508,Carrier,36.47,-98.01
2509,Carriere,30.6,-89.56
2510,Carrier Mills,37.65,-88.61
2511,Carrington,47.45,-99.12
2512,Carrizo Springs,28.52,-99.85
2513,Carrizozo,33.64,-105.88
2514,Carroll,42.27,-97.19
2515,Carrolls,46.07,-122.86
2516,Carrollton,43.49,-83.96
2517,Carrolltown,40.6,-78.7
2518,Carrsville,36.71,-76.82
2519,Carson,46.42,-101.57
2520,Carson City,43.17,-84.84
2521,Carsonville,43.42,-82.67
2522,Carter,47.88,-111.02
2523,Carteret,40.58,-74.22
2524,Carter Lake,41.28,-95.91
2525,Cartersville,37.66,-78.1
2526,Carterville,37.76,-89.08
2527,Carthage,44.16,-97.71
2528,Cartwright,47.86,-103.93
2529,Caruthers,36.52,-119.87
2530,Caruthersville,36.17,-89.66
2531,Carver,44.76,-93.62
2532,Carversville,40.39,-75.06
2533,Carville,30.22,-91.1
2534,Cary,42.2,-88.24
2535,Caryville,36.32,-84.21
2536,Casa,35.02,-93.04
2537,Casa Blanca,35.0,-107.41
2538,Casa Grande,32.92,-111.61
2539,Casanova,38.61,-77.64
2540,Casar,35.51,-81.61
2541,Cascade,47.16,-111.63
2542,Cascade Locks,45.61,-121.84
2543,Cascadia,44.44,-122.36
2544,Cascilla,33.89,-90.03
2545,Casco,44.55,-87.61
2546,Caseville,43.94,-83.27
2547,Casey,41.5,-94.52
2548,Caseyville,38.63,-90.03
2549,Cash,35.79,-90.93
2550,Cashiers,35.1,-83.09
2551,Cashion,35.8,-97.67
2552,Cashmere,47.55,-120.48
2553,Cashton,43.74,-90.78
2554,Cashtown,39.88,-77.34
2555,Casmalia,34.86,-120.52
2556,Casnovia,43.23,-85.79
2557,Cason,33.03,-94.81
2558,Caspar,39.36,-123.78
2559,Casper,42.83,-106.32
2560,Caspian,46.06,-88.62
2561,Cass,38.45,-79.89
2562,Cassadaga,42.34,-79.31
2563,Cassandra,40.4,-78.64
2564,Cassatt,34.34,-80.47
2565,Cass City,43.6,-83.17
2566,Casscoe,34.45,-91.32
2567,Cassel,40.92,-121.57
2568,Casselberry,28.66,-81.32
2569,Casselton,46.9,-97.21
2570,Cass Lake,47.37,-94.6
2571,Cassoday,38.03,-96.63
2572,Cassopolis,41.91,-86.0
2573,Casstown,40.05,-84.12
2574,Cassville,42.94,-75.25
2575,Castaic,34.51,-118.68
2576,Castalia,43.11,-91.67
2577,Castalian Springs,36.38,-86.31
2578,Castana,42.07,-95.9
2579,Castanea,41.12,-77.42
2580,Castaner,18.19,-66.82
2581,Castell,30.7,-98.5
2582,Castella,41.1,-122.35
2583,Castile,42.63,-78.05
2584,Castine,44.38,-68.8
2585,Castle,35.47,-96.38
2586,Castleberry,31.29,-87.02
2587,Castle Creek,42.22,-75.91
2588,Castle Dale,39.2,-110.92
2589,Castleford,42.4,-114.88
2590,Castle Hayne,34.35,-77.9
2591,Castle Point,41.53,-73.89
2592,Castle Rock,46.29,-122.95
2593,Castleton,43.62,-73.18
2594,Castleton On Hudson,42.53,-73.7
2595,Castlewood,44.72,-97.03
2596,Castor,32.25,-93.16
2597,Castorland,43.88,-75.51
2598,Castro Valley,37.7,-122.08
2599,Castroville,36.76,-121.75
2600,Cataldo,47.57,-116.47
2601,Catalina,32.22,-110.92
2602,Catano,18.43,-66.11
2603,Cataract,44.08,-90.83
2604,Catarina,28.35,-99.61
2605,Catasauqua,40.65,-75.46
2606,Cataula,32.66,-84.88
2607,Cataumet,41.66,-70.61
2608,Catawba,45.53,-90.53
2609,Catawissa,40.95,-76.46
2610,Catharine,38.93,-99.21
2611,Catharpin,38.84,-77.56
2612,Cathay,47.55,-99.41
2613,Cathedral City,33.82,-116.45
2614,Catherine,32.18,-87.46
2615,Catheys Valley,37.38,-120.12
2616,Cathlamet,46.22,-123.31
2617,Catlett,38.61,-77.64
2618,Catlettsburg,38.41,-82.6
2619,Catlin,40.06,-87.7
2620,Cato,43.16,-76.57
2621,Catonsville,39.26,-76.74
2622,Catoosa,36.18,-95.76
2623,Catron,36.61,-89.7
2624,Catskill,42.21,-73.86
2625,Cat Spring,29.84,-96.32
2626,Cattaraugus,42.32,-78.86
2627,Caulfield,36.61,-92.1
2628,Causey,33.86,-103.11
