state,zipcode,total_pop,total_income,country,avg_income
AK,0,345220,25354974,USA,73445.84323
AK,99501,7690,612242,USA,79615.3446
AK,99502,11860,1000685,USA,84374.78921
AK,99503,7510,462394,USA,61570.43941
AK,99504,19440,1176109,USA,60499.43416
AK,99505,2280,95855,USA,42041.66667
AK,99506,2950,123224,USA,41770.84746
AK,99507,18470,1505759,USA,81524.5804
AK,99508,15170,881183,USA,58087.2116
AK,99515,11140,1081486,USA,97081.32855
AK,99516,9780,1525045,USA,155935.0716
AK,99517,8060,670063,USA,83134.36725
AK,99518,5190,360329,USA,69427.55299
AK,99540,160,12179,USA,76118.75
AK,99556,1080,63140,USA,58462.96296
AK,99559,3090,190402,USA,61618.77023
AK,99567,4160,350830,USA,84334.13462
AK,99568,130,8460,USA,65076.92308
AK,99572,220,14656,USA,66618.18182
AK,99573,440,22863,USA,51961.36364
AK,99577,12770,1201986,USA,94125.76351
AK,99586,230,11199,USA,48691.30435
AK,99588,660,40654,USA,61596.9697
AK,99603,5550,391997,USA,70630.09009
AK,99610,1080,76005,USA,70375
AK,99611,6450,454648,USA,70488.06202
AK,99615,6250,400538,USA,64086.08
AK,99631,140,9912,USA,70800
AK,99639,610,37053,USA,60742.62295
AK,99645,13180,993654,USA,75391.04704
AK,99654,15060,1106246,USA,73455.90969
AK,99664,2260,146233,USA,64704.86726
AK,99669,7680,612402,USA,79739.84375
AK,99672,1630,118334,USA,72597.54601
AK,99674,690,39601,USA,57392.75362
AK,99676,960,55877,USA,58205.20833
AK,99686,2000,170342,USA,85171
AK,99688,1320,78000,USA,59090.90909
AK,99701,8110,471980,USA,58197.2873
AK,99702,1290,57606,USA,44655.81395
AK,99703,3320,132232,USA,39828.91566
AK,99705,9040,629505,USA,69635.50885
AK,99709,10920,849069,USA,77753.57143
AK,99712,4420,367212,USA,83079.63801
AK,99714,450,30629,USA,68064.44444
AK,99737,1840,122002,USA,66305.43478
AK,99743,600,45476,USA,75793.33333
AK,99760,320,20087,USA,62771.875
AK,99780,800,42210,USA,52762.5
AK,99801,12210,934332,USA,76521.86732
AK,99824,1130,90831,USA,80381.41593
AK,99827,1270,88825,USA,69940.94488
AK,99833,1700,114471,USA,67335.88235
AK,99835,4470,316394,USA,70781.65548
AK,99901,6280,437711,USA,69699.20382
AK,99999,69840,4502817,USA,64473.32474
AL,0,2036290,125478058,USA,61620.91745
AL,35004,5200,302269,USA,58128.65385
AL,35005,3190,130555,USA,40926.33229
AL,35006,1240,65411,USA,52750.80645
AL,35007,12050,743431,USA,61695.51867
AL,35010,7840,410413,USA,52348.59694
AL,35014,1600,79981,USA,49988.125
AL,35016,7210,385033,USA,53402.63523
AL,35019,890,44467,USA,49962.92135
AL,35020,8950,254213,USA,28403.68715
AL,35022,10170,597418,USA,58743.16618
AL,35023,10120,500960,USA,49501.97628
AL,35031,2960,132958,USA,44918.24324
AL,35033,1370,78406,USA,57230.65693
AL,35034,1310,53827,USA,41089.31298
AL,35035,570,50773,USA,89075.4386
AL,35040,7880,451614,USA,57311.42132
AL,35042,2240,109244,USA,48769.64286
AL,35043,5610,496527,USA,88507.48663
AL,35044,3110,139751,USA,44936.01286
AL,35045,5570,279193,USA,50124.41652
AL,35046,2320,144501,USA,62284.91379
AL,35049,1570,84597,USA,53883.43949
AL,35051,3420,226050,USA,66096.49123
AL,35053,1100,80598,USA,73270.90909
AL,35054,1780,132480,USA,74426.96629
AL,35055,8060,452074,USA,56088.58561
AL,35057,5330,312812,USA,58688.93058
AL,35058,4230,235723,USA,55726.47754
AL,35061,620,22649,USA,36530.64516
AL,35062,3220,190921,USA,59292.23602
AL,35063,1220,55770,USA,45713.11475
AL,35064,4060,144789,USA,35662.31527
AL,35068,3840,198913,USA,51800.26042
AL,35071,7600,502675,USA,66141.44737
AL,35072,1790,71828,USA,40127.3743
AL,35073,940,36515,USA,38845.74468
AL,35077,5300,237000,USA,44716.98113
AL,35078,940,56495,USA,60101.06383
AL,35079,3570,198085,USA,55485.9944
AL,35080,8270,625720,USA,75661.42684
AL,35083,1170,57315,USA,48987.17949
AL,35085,3400,162834,USA,47892.35294
AL,35087,830,35784,USA,43113.25301
AL,35089,740,26192,USA,35394.59459
AL,35091,1330,95978,USA,72163.90977
AL,35094,6330,385992,USA,60978.19905
AL,35096,3450,187502,USA,54348.4058
AL,35097,760,37403,USA,49214.47368
AL,35098,560,25480,USA,45500
AL,35111,7290,481018,USA,65983.26475
AL,35114,3160,216757,USA,68593.98734
AL,35115,5350,254473,USA,47565.04673
AL,35116,2040,136083,USA,66707.35294
AL,35117,2710,180055,USA,66440.95941
AL,35118,1320,65205,USA,49397.72727
AL,35120,6370,364187,USA,57172.2135
AL,35121,5880,322724,USA,54885.03401
AL,35124,11830,1004652,USA,84924.09129
AL,35125,4460,205579,USA,46093.94619
AL,35126,9540,510996,USA,53563.52201
AL,35127,4350,227002,USA,52184.36782
AL,35128,4360,285361,USA,65449.77064
AL,35130,1250,57256,USA,45804.8
AL,35131,1570,68566,USA,43672.61146
AL,35133,1680,85740,USA,51035.71429
AL,35135,810,47029,USA,58060.49383
AL,35136,660,33733,USA,51110.60606
AL,35143,1240,72578,USA,58530.64516
AL,35146,4620,322554,USA,69816.88312
AL,35147,2330,178979,USA,76815.02146
AL,35148,1080,48376,USA,44792.59259
AL,35150,7000,310258,USA,44322.57143
AL,35151,2940,153808,USA,52315.64626
AL,35160,9610,410515,USA,42717.48179
AL,35171,1340,74603,USA,55673.8806
AL,35172,1140,50985,USA,44723.68421
AL,35173,13140,1206986,USA,91855.85997
AL,35175,2090,124230,USA,59440.19139
AL,35176,330,15120,USA,45818.18182
AL,35178,1450,74912,USA,51663.44828
AL,35179,3890,209089,USA,53750.3856
AL,35180,5750,346335,USA,60232.17391
