zip,cbsa
68465,99999
68465,30700
68465,13100
53144,16980
53144,39540
68718,99999
68776,43580
68527,36540
68527,30700
53503,31540
54480,99999
54480,48140
54895,99999
54854,20260
54403,48140
53719,31540
53925,31540
53925,13180
53933,13180
53563,48020
53563,27500
53565,31540
53565,99999
54025,99999
54025,33460
54909,44620
54909,99999
55811,20260
55732,20260
55765,20260
55345,33460
55374,33460
55115,33460
55055,33460
55047,33460
55448,33460
55322,33460
55330,33460
55985,40340
55985,36940
55985,39860
56048,31860
56048,99999
58533,99999
58416,99999
58634,99999
58634,19860
58352,99999
58274,99999
56377,41060
56368,41060
56319,10820
56319,99999
56449,14660
56449,99999
56327,10820
56327,99999
56183,99999
56150,99999
58746,33500
58746,99999
58831,99999
60423,16980
56529,22020
56482,99999
56482,22260
56587,22260
61704,14010
61754,30660
61754,99999
61754,14010
62034,41180
62047,41180
62203,41180
61545,37900
61606,37900
61564,37900
61472,23660
61472,19340
60935,28100
60935,16980
61244,19340
60931,99999
61840,99999
61840,16580
61853,16580
61413,23660
61413,19340
61283,19340
61283,44580
61283,36837
61434,19340
61434,37900
61434,23660
62269,41180
62353,99999
60133,16980
60008,16980
62832,99999
62832,16060
62836,99999
62836,34500
62476,99999
62601,27300
62621,27300
62859,99999
62924,16060
62941,37140
62941,99999
62917,16060
62917,99999
62933,16060
60163,16980
61010,40300
61038,16980
61038,40420
61014,44580
61014,99999
63090,41180
63118,41180
63060,99999
63060,41180
60656,16980
63136,41180
63303,41180
64118,28140
64148,28140
64076,28140
64076,47660
64062,28140
64109,28140
63703,16020
63351,41180
63351,99999
63434,99999
64503,41140
64501,41140
64631,99999
64643,99999
64437,99999
64442,99999
64163,28140
64640,99999
64661,99999
63830,99999
63873,99999
65043,27620
65037,99999
66061,28140
66101,28140
66047,29940
66540,99999
66540,31740
66540,45820
66526,45820
66714,99999
66002,28140
66002,45820
66002,41140
66002,11860
65536,44180
65536,30060
65536,99999
65360,47660
65360,99999
65360,42740
65552,99999
65552,22780
65552,30060
65251,27620
65282,99999
65283,99999
66112,28140
65714,44180
65714,99999
65737,99999
65737,44180
65737,14700
65725,44180
65723,27900
65723,99999
65744,14700
66801,21380
67050,48620
67101,48620
66872,99999
66872,31740
70392,34020
70427,35380
70427,14220
70563,29180
70584,36660
70591,27660
70543,29180
70073,35380
67583,26740
67583,99999
67220,48620
70442,25220
67844,19980
67844,99999
67861,99999
70767,12940
70757,12940
71913,31680
71913,26300
71846,99999
71342,99999
72348,99999
72348,32820
72348,22620
73095,99999
73095,36420
73501,30020
73501,20340
72713,22220
72714,22220
72641,25460
73546,99999
74820,10220
74820,99999
74640,99999
74640,21420
75021,43300
74452,99999
74452,45140
75011,19100
74132,46140
75234,19100
75482,44860
75570,45500
75603,30980
75093,19100
75182,19100
75639,30980
75639,99999
76011,19100
76039,19100
76023,19100
75860,99999
75838,99999
76119,19100
75965,34860
76002,19100
76240,43300
76240,23620
76234,99999
76234,23620
76234,19100
77346,26420
77347,26420
76642,99999
76642,47380
76472,33420
76633,99999
76633,47380
77306,26420
77092,26420
