Overall Rank ,City,State,Total Score ,Emotional & Physical Well-Being ,Income & Employment ,Community & Environment 
167,Columbus, GA,41,177,131,65
168,Fayetteville, NC,41,161,155,171
169,Jackson, MS,41,160,159,174
170,Birmingham, AL,40,168,158,162
171,Toledo, OH,39,172,171,127
172,Charleston, WV,39,173,81,173
173,Shreveport, LA,39,175,173,71
174,Mobile, AL,39,171,172,124
175,Fort Smith, AR,37,180,61,158
176,Augusta, GA,37,178,162,135
177,Cleveland, OH,37,170,156,180
178,Montgomery, AL,36,174,180,161
179,Huntington, WV,36,182,39,141
180,Memphis, TN,35,176,181,172
181,Gulfport, MS,35,181,153,151
182,Detroit, MI,32,179,179,177
