zipcode,state,total_pop,avg_income
35501,AL,3620,45125.14
35503,AL,3330,51628.53
35504,AL,5260,65097.91
35540,AL,900,48414.44
35541,AL,1320,65008.33
35542,AL,430,46232.56
35543,AL,350,43454.29
35544,AL,220,44640.91
35546,AL,1500,48821.33
35548,AL,560,38000.0
35549,AL,1360,41400.74
35550,AL,1850,47684.86
35552,AL,370,74510.81
35553,AL,1680,49683.33
35554,AL,420,49830.95
35555,AL,3640,45672.8
35563,AL,1540,47309.74
35564,AL,790,42308.86
35565,AL,4670,45806.42
35570,AL,3930,44448.85
35571,AL,320,45256.25
35572,AL,400,58975.0
35574,AL,560,48625.0
35575,AL,370,44016.22
35576,AL,1180,49167.8
35578,AL,1840,44566.3
35579,AL,1180,45473.73
35580,AL,1460,47758.22
35581,AL,1890,41589.95
35582,AL,1620,54475.93
35585,AL,600,45666.67
35586,AL,1560,44436.54
35587,AL,310,51787.1
35592,AL,1670,46358.08
35593,AL,670,44901.49
35594,AL,2880,52219.44
35601,AL,13500,48867.56
35603,AL,14270,68506.52
35610,AL,740,49759.46
35611,AL,10330,49809.97
35613,AL,9780,83334.25
35614,AL,3050,47524.92
35616,AL,1400,47897.86
35618,AL,750,38878.67
35619,AL,2060,53466.5
35620,AL,3760,53213.56
35621,AL,1200,50595.83
35622,AL,2760,45861.59
35630,AL,12550,45785.9
35633,AL,8540,55868.62
35634,AL,4560,78801.54
35640,AL,10810,60754.67
35643,AL,1270,44000.0
35645,AL,5800,67568.97
35646,AL,1790,47377.65
35647,AL,440,52679.55
35648,AL,1570,51094.9
35650,AL,5450,50431.56
35651,AL,410,48202.44
35652,AL,3470,58807.78
35653,AL,4410,45393.2
35654,AL,3000,43602.0
35660,AL,3740,40716.04
35661,AL,7940,63551.01
35670,AL,3190,54898.43
35671,AL,920,54391.3
35672,AL,2400,50944.58
35673,AL,3410,53540.76
35674,AL,8030,53886.18
35677,AL,710,43353.52
35739,AL,2200,53108.18
35740,AL,1260,46579.37
35741,AL,1540,109942.21
35744,AL,940,42886.17
35746,AL,350,42745.71
35747,AL,2480,59783.47
35748,AL,3360,89182.74
35749,AL,12080,70992.63
35750,AL,6030,53921.56
35752,AL,810,48876.54
35754,AL,2260,56588.05
35755,AL,290,58544.83
35756,AL,9130,90189.38
35757,AL,7770,77452.9
35758,AL,21560,95867.76
35759,AL,4440,71238.74
35760,AL,2110,53265.4
35761,AL,5350,66805.23
35763,AL,9020,114114.63
35764,AL,240,38504.17
35765,AL,1450,43273.79
35768,AL,4580,48782.31
