zipcode,state,total_pop,avg_income
61342,IL,4260,54569.48
61344,IL,170,45741.18
61345,IL,340,57985.29
61348,IL,2370,58639.24
61349,IL,470,58734.04
61350,IL,11850,64030.55
61353,IL,620,55825.81
61354,IL,5490,62506.19
61356,IL,5360,64290.86
61358,IL,210,46404.76
61360,IL,1640,66555.49
61361,IL,640,55368.75
61362,IL,2780,52525.9
61364,IL,8870,50824.24
61367,IL,390,58528.21
61368,IL,670,52635.82
61369,IL,740,53878.38
61370,IL,690,62962.32
61373,IL,1010,74628.71
61375,IL,490,70287.76
61376,IL,960,59185.42
61377,IL,630,56296.83
61378,IL,250,63520.0
61379,IL,620,53203.23
61401,IL,13990,50251.75
61410,IL,1700,48148.82
61411,IL,160,54187.5
61412,IL,650,63786.15
61413,IL,520,61221.15
61414,IL,410,53921.95
61415,IL,780,58842.31
61417,IL,120,61883.33
61418,IL,290,57234.48
61420,IL,460,57867.39
61421,IL,590,60391.53
61422,IL,1460,47472.6
61423,IL,280,61575.0
61425,IL,200,53490.0
61427,IL,1020,56185.29
61428,IL,550,100936.36
61430,IL,400,66157.5
61431,IL,160,59125.0
61432,IL,320,55865.62
61434,IL,1510,51900.0
61436,IL,420,62471.43
61437,IL,380,53978.95
61438,IL,330,63057.58
61440,IL,340,51176.47
61441,IL,380,58202.63
61442,IL,300,42123.33
61443,IL,6080,46808.55
61447,IL,430,53355.81
61448,IL,1840,57378.8
61449,IL,190,49142.11
61450,IL,750,52384.0
61451,IL,160,67037.5
61452,IL,130,43669.23
61453,IL,300,52426.67
61454,IL,310,45096.77
61455,IL,6900,57576.38
61458,IL,390,51297.44
61459,IL,180,57166.67
61460,IL,130,47723.08
61462,IL,4870,52931.62
61465,IL,550,57021.82
61466,IL,140,55092.86
61467,IL,500,60538.0
61469,IL,910,49626.37
61470,IL,200,51950.0
61472,IL,280,68646.43
61473,IL,730,54072.6
61474,IL,130,55938.46
61475,IL,110,60490.91
61476,IL,190,61815.79
61477,IL,270,50670.37
61478,IL,140,61035.71
61480,IL,550,58156.36
61482,IL,260,57080.77
61483,IL,850,62657.65
61484,IL,350,46937.14
61485,IL,290,58627.59
61486,IL,730,56346.58
61488,IL,520,56334.62
61489,IL,450,60526.67
61490,IL,550,60190.91
61491,IL,1020,61312.75
61501,IL,780,46096.15
61516,IL,340,63694.12
61517,IL,1620,110735.19
61520,IL,6810,52785.02
61523,IL,5380,68368.96
61525,IL,4830,149207.66
61526,IL,530,87830.19
61528,IL,1430,148962.24
61529,IL,1360,68191.18
61530,IL,2850,75535.79
61531,IL,1550,54567.74
61532,IL,200,48450.0
61533,IL,1090,60823.85
61534,IL,760,63002.63
61535,IL,850,98771.76
61536,IL,1490,73061.74
61537,IL,1280,56110.16
61540,IL,1320,58471.97
61542,IL,1530,57338.56
61544,IL,330,51596.97
61545,IL,320,66821.88
61546,IL,1950,58857.44
61547,IL,1770,86759.32
61548,IL,5840,95533.56
61550,IL,8750,97051.54
61554,IL,19320,53588.92
61559,IL,1560,83417.95
61560,IL,330,66590.91
61561,IL,1290,73668.22
61565,IL,670,68867.16
61567,IL,280,44114.29
61568,IL,2140,83817.29
61569,IL,590,71472.88
61570,IL,820,53943.9
61571,IL,11570,81229.73
61572,IL,490,54216.33
61602,IL,460,98615.22
61603,IL,6700,32656.57
61604,IL,13730,43010.2
61605,IL,5360,23958.96
61606,IL,2060,50213.11
61607,IL,5350,59660.75
61610,IL,2450,38660.82
61611,IL,11910,64233.67
61614,IL,14160,75784.82
61615,IL,11890,102321.95
61616,IL,3120,65739.74
61701,IL,16390,54318.79
61704,IL,18030,93345.81
61705,IL,6540,110514.53
61720,IL,110,57836.36
61721,IL,260,61469.23
61722,IL,230,61400.0
61723,IL,1110,59633.33
61724,IL,230,56665.22
61725,IL,770,86549.35
61726,IL,1220,55828.69
61727,IL,4520,60888.05
61728,IL,640,63507.81
61729,IL,550,103014.55
61730,IL,180,61772.22
61731,IL,110,66081.82
61732,IL,1000,71353.0
61733,IL,550,66896.36
61734,IL,1240,61221.77
61735,IL,180,65322.22
61736,IL,970,103625.77
61737,IL,240,73812.5
61738,IL,2000,74127.5
61739,IL,2370,71829.54
61740,IL,760,61968.42
61741,IL,770,58829.87
61742,IL,550,92518.18
61743,IL,130,59015.38
61744,IL,930,67944.09
61745,IL,2080,73661.06
61747,IL,690,66920.29
61748,IL,1350,113784.44
61749,IL,250,58204.0
61752,IL,2080,68997.6
61753,IL,1410,73635.46
61754,IL,580,63391.38
61755,IL,2070,72958.94
61756,IL,1010,63805.94
61759,IL,700,69928.57
61760,IL,1150,61256.52
61761,IL,19330,68382.0
61764,IL,5880,57404.93
61769,IL,280,51135.71
61770,IL,500,53926.0
61771,IL,450,73135.56
61772,IL,200,66995.0
61773,IL,190,52794.74
61774,IL,470,62021.28
61775,IL,160,57787.5
61776,IL,720,86947.22
61777,IL,470,65538.3
61778,IL,300,55626.67
61801,IL,8890,56110.35
61802,IL,9050,60588.73
61810,IL,150,57366.67
61811,IL,310,49341.94
61812,IL,150,56640.0
61813,IL,890,50747.19
61814,IL,540,64774.07
61816,IL,220,59759.09
61817,IL,1190,59770.59
61818,IL,780,56679.49
61820,IL,9620,48319.96
61821,IL,14100,67839.29
61822,IL,11960,100443.06
61830,IL,230,58782.61
61832,IL,13620,45519.75
61833,IL,920,37622.83
61834,IL,3130,64826.52
61839,IL,280,56264.29
61840,IL,370,93145.95
61841,IL,640,57485.94
61842,IL,1340,59873.13
61843,IL,1150,65507.83
61844,IL,480,65889.58
61845,IL,180,64761.11
61846,IL,2080,45137.98
61847,IL,590,62922.03
61849,IL,850,68751.76
61850,IL,210,51214.29
61851,IL,200,56415.0
61852,IL,110,55790.91
61853,IL,6460,93245.98
61854,IL,750,68177.33
61856,IL,3850,82439.74
61858,IL,1480,56983.78
61859,IL,620,64788.71
61862,IL,260,57165.38
61863,IL,430,69169.77
61864,IL,820,76658.54
61865,IL,590,56301.69
61866,IL,6090,41136.62
61870,IL,550,46723.64
61872,IL,360,67205.56
61873,IL,2810,77331.67
61874,IL,3860,84546.63
61875,IL,350,81554.29
61876,IL,330,57672.73
61877,IL,810,63623.46
61878,IL,690,52769.57
61880,IL,2090,64359.33
61882,IL,310,60887.1
61883,IL,2090,47483.73
61884,IL,580,97310.34
61910,IL,2150,54006.98
61911,IL,2180,56277.98
61912,IL,550,62403.64
61913,IL,760,54131.58
61914,IL,860,55316.28
61917,IL,250,59140.0
61919,IL,370,68932.43
61920,IL,8330,57398.08
61924,IL,940,59810.64
61925,IL,470,75768.09
61928,IL,330,53439.39
61929,IL,340,51252.94
61930,IL,230,54156.52
61931,IL,550,56034.55
61932,IL,210,55604.76
61933,IL,460,50404.35
61937,IL,900,55014.44
61938,IL,9760,52767.83
61942,IL,540,56681.48
61943,IL,700,55800.0
61944,IL,5490,53987.8
61951,IL,3690,64562.33
61953,IL,3090,60494.17
61956,IL,1330,51199.25
61957,IL,830,51937.35
62001,IL,830,76926.51
62002,IL,14020,54056.42
62006,IL,250,65884.0
62009,IL,740,47218.92
62010,IL,5230,64416.63
62011,IL,110,48218.18
62012,IL,3180,64280.82
62013,IL,230,58647.83
62014,IL,1740,56738.51
62015,IL,230,61278.26
62016,IL,1780,54952.81
62017,IL,490,51757.14
62018,IL,1430,35660.14
62019,IL,210,50295.24
62021,IL,440,80979.55
62022,IL,580,59029.31
62024,IL,4290,49238.23
62025,IL,15400,94607.27
62027,IL,200,53620.0
62028,IL,430,52469.77
62031,IL,410,50956.1
62032,IL,330,56157.58
62033,IL,2070,53339.61
62034,IL,6810,91160.5
62035,IL,7840,70605.1
62036,IL,310,64367.74
62037,IL,860,70581.4
62040,IL,18720,47375.16
62044,IL,870,52852.87
62045,IL,200,55100.0
62047,IL,670,58950.75
62048,IL,570,43542.11
62049,IL,2820,59085.82
62050,IL,160,39943.75
62051,IL,400,53780.0
62052,IL,5600,58147.5
62053,IL,280,51464.29
62054,IL,330,47290.91
62056,IL,3970,54632.75
62060,IL,1620,30410.49
62061,IL,860,73331.4
62062,IL,4110,86275.18
62063,IL,530,55600.0
62067,IL,1220,74037.7
62069,IL,1460,54405.48
62074,IL,490,62697.96
62075,IL,1430,55682.52
62079,IL,150,56693.33
62080,IL,1030,49311.65
62081,IL,140,50921.43
62082,IL,1100,45695.45
62083,IL,100,62900.0
62084,IL,750,43393.33
62086,IL,590,52130.51
62087,IL,810,36350.62
62088,IL,3170,59012.3
62090,IL,370,27667.57
62091,IL,170,57576.47
62092,IL,1140,46172.81
62094,IL,450,49324.44
62095,IL,5160,47397.87
62097,IL,1410,71651.06
62201,IL,1950,27254.36
62203,IL,2590,30876.83
62204,IL,1800,23320.56
62205,IL,2840,28386.27
62206,IL,5310,29107.91
62207,IL,2640,25696.21
62208,IL,8670,58533.91
62214,IL,530,71881.13
62215,IL,850,74138.82
62216,IL,1340,82763.43
62217,IL,360,49208.33
62218,IL,770,78709.09
62220,IL,8860,58464.22
62221,IL,13660,64363.47
62223,IL,8560,66297.08
62225,IL,1870,58005.88
62226,IL,14440,61555.75
62230,IL,3280,70302.74
62231,IL,3500,66505.14
62232,IL,3320,69395.48
62233,IL,2720,58350.74
62234,IL,15790,58657.69
62236,IL,6760,98015.68
62237,IL,1150,51009.57
62238,IL,250,39124.0
62239,IL,2170,47800.0
62240,IL,700,53652.86
62241,IL,480,57304.17
62242,IL,630,53347.62
62243,IL,2870,73990.59
62244,IL,490,73906.12
62245,IL,910,72249.45
62246,IL,3700,57733.24
62249,IL,7920,74728.54
62250,IL,230,49652.17
62253,IL,300,44506.67
62254,IL,2600,70402.69
62255,IL,460,49243.48
62257,IL,1290,54691.47
62258,IL,4710,69776.86
62260,IL,3740,79390.11
62262,IL,710,50247.89
62263,IL,2470,70723.89
62264,IL,1530,62681.05
62265,IL,2030,65054.68
62268,IL,390,59279.49
62269,IL,16800,85393.1
62271,IL,1050,70195.24
62272,IL,670,44626.87
62274,IL,2750,55040.36
62275,IL,1570,63094.27
62277,IL,580,52081.03
62278,IL,3240,65728.7
62280,IL,180,65294.44
62281,IL,1370,91784.67
62284,IL,240,55887.5
62285,IL,2260,96483.63
62286,IL,2690,51660.97
62288,IL,1380,57383.33
62293,IL,2350,72598.72
62294,IL,7320,79387.16
62295,IL,710,63366.2
62297,IL,160,55925.0
62298,IL,8810,78220.54
62301,IL,14590,50756.13
62305,IL,9470,83180.36
62311,IL,380,51828.95
62312,IL,900,52467.78
62313,IL,180,58150.0
62314,IL,240,51833.33
62316,IL,280,54475.0
62320,IL,990,57773.74
62321,IL,1790,61227.37
62323,IL,110,48354.55
62324,IL,590,46508.47
62325,IL,180,52855.56
62326,IL,1090,52180.73
62330,IL,760,51285.53
62338,IL,730,66971.23
62339,IL,410,56160.98
62340,IL,730,54527.4
62341,IL,1580,57444.94
62343,IL,300,47106.67
62345,IL,140,48185.71
62346,IL,100,51660.0
62347,IL,1110,61295.5
62349,IL,290,51355.17
62351,IL,890,57301.12
62353,IL,1680,58505.36
62354,IL,650,60670.77
62355,IL,280,48860.71
62356,IL,240,52366.67
62358,IL,320,53171.88
62360,IL,800,53782.5
62361,IL,200,41895.0
62363,IL,2550,57175.29
62365,IL,270,48300.0
62366,IL,570,48029.82
62367,IL,520,42901.92
62370,IL,160,56456.25
62373,IL,150,63146.67
62374,IL,150,47686.67
62375,IL,140,68357.14
62376,IL,590,59015.25
62378,IL,400,50382.5
62379,IL,870,54978.16
62380,IL,140,49200.0
62401,IL,9720,68902.78
62410,IL,450,53273.33
62411,IL,2140,54261.21
62413,IL,190,54826.32
62414,IL,870,47683.91
62417,IL,1220,48429.51
62418,IL,890,51912.36
62419,IL,170,47300.0
62420,IL,1970,54386.8
62421,IL,340,53047.06
62422,IL,490,44108.16
62423,IL,320,63131.25
62424,IL,1100,64628.18
62425,IL,240,61195.83
62426,IL,420,44292.86
62427,IL,730,57247.95
62428,IL,1390,50961.15
62431,IL,460,50295.65
62432,IL,240,52633.33
62433,IL,410,62870.73
62434,IL,160,50025.0
62436,IL,290,57575.86
62438,IL,160,52143.75
62439,IL,3300,52016.67
62440,IL,540,65450.0
62441,IL,3300,58907.88
62442,IL,1060,52774.53
62443,IL,720,52458.33
62444,IL,170,54017.65
62445,IL,420,61900.0
62446,IL,190,57015.79
62447,IL,1500,58305.33
62448,IL,2760,57089.49
62449,IL,1410,53664.54
62450,IL,5420,52126.2
62451,IL,930,53620.43
62452,IL,170,51952.94
62454,IL,4680,60941.45
62458,IL,1030,45434.95
62460,IL,480,53100.0
62461,IL,430,57251.16
62462,IL,530,64503.77
62463,IL,580,52206.9
62465,IL,440,53663.64
62466,IL,980,52652.04
62467,IL,1930,78915.03
62468,IL,1130,53555.75
62469,IL,180,54750.0
62471,IL,3870,52983.98
62473,IL,690,56037.68
62474,IL,350,51734.29
62475,IL,140,54992.86
62476,IL,680,49595.59
62477,IL,380,55807.89
62478,IL,180,58938.89
62479,IL,400,57705.0
62480,IL,300,43913.33
62481,IL,160,58468.75
62501,IL,1170,71708.55
62510,IL,770,57266.23
62512,IL,200,69630.0
62513,IL,800,53463.75
62515,IL,410,70229.27
62518,IL,200,54685.0
62520,IL,760,65796.05
62521,IL,15980,66281.23
62522,IL,6030,50843.12
62526,IL,14200,48328.66
62530,IL,770,60345.45
62531,IL,860,59631.4
62533,IL,450,63953.33
62534,IL,550,55187.27
62535,IL,1690,129159.17
62536,IL,450,85746.67
62538,IL,160,54562.5
62539,IL,610,58055.74
62543,IL,260,54476.92
62544,IL,820,65606.1
62545,IL,620,67845.16
62546,IL,740,60902.7
62547,IL,360,60650.0
62548,IL,1020,66431.37
62549,IL,2950,80558.98
62550,IL,1310,63929.01
62551,IL,370,53456.76
62553,IL,190,61152.63
62554,IL,780,69296.15
62555,IL,220,60640.91
62556,IL,160,58287.5
62557,IL,3090,52046.6
62558,IL,1720,65465.7
62560,IL,690,62804.35
62561,IL,2550,57107.45
62563,IL,2940,92546.94
62565,IL,3520,57311.08
62567,IL,520,56617.31
62568,IL,7000,56122.14
62571,IL,600,51196.67
62572,IL,260,58365.38
62573,IL,670,61301.49
62601,IL,220,69095.45
62611,IL,460,64784.78
62612,IL,910,56840.66
62613,IL,1880,67131.38
62615,IL,2610,60197.32
62617,IL,310,48167.74
62618,IL,3460,43777.17
62621,IL,540,56025.93
62624,IL,220,49463.64
62625,IL,470,87312.77
62626,IL,3600,59083.33
62627,IL,440,56379.55
62628,IL,410,57065.85
62629,IL,7120,83159.55
62630,IL,210,58004.76
62631,IL,140,75100.0
62633,IL,310,58125.81
62634,IL,400,72610.0
62635,IL,350,64691.43
62638,IL,640,63876.56
62639,IL,120,57850.0
62640,IL,1660,58100.6
62642,IL,640,57635.94
62643,IL,220,51368.18
62644,IL,2160,52521.76
62649,IL,220,54081.82
62650,IL,11020,56688.29
62655,IL,240,44908.33
62656,IL,7620,54598.16
62661,IL,600,64068.33
62664,IL,1330,54154.89
62665,IL,600,43306.67
62666,IL,280,55225.0
62667,IL,240,60333.33
62668,IL,650,60067.69
62670,IL,1540,75528.57
62671,IL,270,59592.59
62673,IL,240,51916.67
62674,IL,580,52732.76
62675,IL,2880,72285.07
62677,IL,1320,84221.97
62681,IL,2380,54093.7
62682,IL,370,54567.57
62684,IL,2630,88977.19
62685,IL,860,58424.42
62688,IL,340,57570.59
62690,IL,1820,50477.47
62691,IL,1100,58127.27
62692,IL,970,54874.23
62693,IL,900,74236.67
62694,IL,1480,58772.3
62701,IL,380,66497.37
62702,IL,16260,44245.88
62703,IL,13120,38981.86
62704,IL,20510,77142.27
62707,IL,3750,67456.0
62711,IL,9430,121853.02
62712,IL,5150,108318.45
62801,IL,8620,49085.73
62803,IL,460,69458.7
62806,IL,1530,53981.7
62807,IL,410,47453.66
62808,IL,690,49276.81
62809,IL,130,55584.62
62810,IL,470,49338.3
62812,IL,4590,52220.92
62814,IL,870,49098.85
62815,IL,140,49900.0
62816,IL,540,47188.89
62817,IL,220,55840.91
62818,IL,150,54873.33
62819,IL,160,41343.75
62821,IL,3100,57544.52
62822,IL,1190,42351.26
62823,IL,780,47419.23
62824,IL,750,45306.67
62827,IL,500,54920.0
62828,IL,620,65920.97
62830,IL,590,54918.64
62831,IL,280,49514.29
62832,IL,3930,50432.06
62833,IL,160,57325.0
62835,IL,460,57073.91
62836,IL,320,57990.62
62837,IL,3840,50703.12
62838,IL,710,48074.65
62839,IL,2970,48284.51
62842,IL,330,52145.45
62844,IL,850,51240.0
62846,IL,290,46937.93
62849,IL,940,52882.98
62850,IL,140,46192.86
62851,IL,150,48146.67
62853,IL,450,49626.67
62854,IL,780,43858.97
62858,IL,1310,52590.08
62859,IL,2440,50818.85
62860,IL,260,55057.69
62862,IL,150,57060.0
62863,IL,4260,61772.54
62864,IL,10560,53941.0
62865,IL,880,55042.05
62867,IL,190,51210.53
62868,IL,850,53524.71
62869,IL,1130,58838.94
62870,IL,920,48119.57
62871,IL,240,67741.67
62872,IL,520,47201.92
62874,IL,150,34506.67
62875,IL,530,57892.45
62877,IL,220,61827.27
62878,IL,150,46266.67
62880,IL,330,58448.48
62881,IL,5160,52173.26
62882,IL,980,38720.41
62883,IL,310,55525.81
62884,IL,1260,48952.38
62885,IL,350,44620.0
62886,IL,150,42340.0
62887,IL,130,56692.31
62888,IL,870,53387.36
62889,IL,400,51370.0
62890,IL,1100,52433.64
62892,IL,130,51184.62
62893,IL,470,55178.72
62894,IL,460,53252.17
62895,IL,820,51750.0
62896,IL,4790,48026.93
62897,IL,190,50915.79
62898,IL,940,57847.87
62899,IL,730,52713.7
62901,IL,7950,47626.04
62902,IL,2170,73153.46
62903,IL,1100,74365.45
62905,IL,310,49838.71
62906,IL,3090,51698.06
62907,IL,940,59219.15
62908,IL,200,61460.0
62910,IL,960,45304.17
62912,IL,500,50462.0
62914,IL,770,34825.97
62916,IL,440,59747.73
62917,IL,980,48931.63
62918,IL,4600,68153.04
62919,IL,330,48769.7
62920,IL,1380,55060.14
62922,IL,1270,58052.76
62923,IL,220,44850.0
62924,IL,1200,47237.5
62926,IL,880,47303.41
62930,IL,2380,49614.71
62931,IL,590,48762.71
62932,IL,640,46526.56
62933,IL,570,50468.42
62934,IL,370,54318.92
62935,IL,820,53471.95
62938,IL,1000,50251.0
62939,IL,1420,58461.27
62940,IL,170,51964.71
62941,IL,290,52544.83
62942,IL,230,41526.09
62943,IL,280,52292.86
62946,IL,5120,53723.24
62947,IL,190,58221.05
62948,IL,5510,50077.86
62951,IL,2330,44877.68
62952,IL,1370,51559.85
62954,IL,190,49831.58
62956,IL,350,48497.14
62957,IL,320,36381.25
62958,IL,1040,74375.0
62959,IL,12040,60684.22
62960,IL,4640,50258.19
62963,IL,200,31560.0
62964,IL,480,42197.92
62966,IL,6290,56001.91
62967,IL,130,43730.77
62969,IL,210,44528.57
62970,IL,240,47283.33
62972,IL,560,56733.93
62974,IL,630,56047.62
62975,IL,130,53900.0
62976,IL,180,40561.11
62977,IL,300,53613.33
62979,IL,540,57079.63
62982,IL,380,43078.95
62983,IL,610,47150.82
62984,IL,650,51249.23
62985,IL,390,51007.69
62987,IL,470,54800.0
62988,IL,550,42667.27
62990,IL,380,46110.53
62992,IL,350,44171.43
62994,IL,310,56012.9
62995,IL,1640,51720.12
62996,IL,230,51891.3
62998,IL,160,45043.75
62999,IL,640,38820.31
99999,IL,36540,80217.52
0,IN,3116510,63163.79
46001,IN,5010,50061.08
46011,IN,8150,59642.7
46012,IN,8910,49045.68
46013,IN,9010,41370.7
46016,IN,6840,27276.46
46017,IN,2980,46570.47
46030,IN,1450,64034.48
46031,IN,1070,84329.91
46032,IN,23860,181171.71
46033,IN,18020,157323.47
46034,IN,3630,82278.79
46035,IN,580,51436.21
46036,IN,5140,44956.81
46037,IN,20540,119212.46
46038,IN,20830,81982.0
46039,IN,330,53936.36
46040,IN,6720,114190.48
46041,IN,10840,48713.93
46044,IN,1380,55549.28
46048,IN,890,43440.45
46049,IN,370,56035.14
46050,IN,780,61210.26
46051,IN,1430,55413.29
46052,IN,11130,60737.11
46055,IN,6630,105516.14
46056,IN,1170,56916.24
46057,IN,500,59198.0
46058,IN,990,60535.35
46060,IN,20290,74066.54
46062,IN,17680,103422.0
46064,IN,6820,75296.33
46065,IN,1620,60085.8
46068,IN,1310,65031.3
46069,IN,3300,67489.7
46070,IN,1010,54031.68
46071,IN,1570,63300.0
46072,IN,4410,59709.52
46074,IN,17860,117186.95
46075,IN,3370,83772.4
46076,IN,740,59112.16
46077,IN,14770,183282.87
46104,IN,430,50848.84
46105,IN,880,56143.18
46106,IN,3760,112497.61
46107,IN,6440,42988.35
46110,IN,230,69695.65
46112,IN,19200,80580.78
46113,IN,7470,54411.11
46115,IN,900,59820.0
46117,IN,320,62756.25
46118,IN,2420,62322.31
46120,IN,2810,52963.7
46121,IN,2490,66998.8
46122,IN,7820,71015.6
46123,IN,19120,77266.95
46124,IN,3590,50625.91
46126,IN,2310,60793.07
46127,IN,170,51576.47
46128,IN,1020,57272.55
46130,IN,1230,67065.85
46131,IN,15200,58516.64
46133,IN,410,44397.56
46135,IN,7810,52228.04
46140,IN,20400,64927.89
46142,IN,16000,68025.69
46143,IN,28520,77373.07
46146,IN,100,38760.0
46147,IN,1390,60910.07
46148,IN,2280,55321.49
46149,IN,960,72187.5
46150,IN,360,58136.11
46151,IN,15040,60439.03
46156,IN,630,54922.22
46157,IN,1890,62537.57
46158,IN,11830,63847.51
46160,IN,2950,59120.68
46161,IN,1200,60423.33
46162,IN,250,77392.0
46163,IN,6530,85689.74
46164,IN,2160,63994.44
46165,IN,720,70433.33
46166,IN,1040,46981.73
46167,IN,3490,78670.49
46168,IN,17040,66390.32
46171,IN,820,53321.95
46172,IN,1100,52275.45
46173,IN,4910,49509.57
46175,IN,280,44107.14
46176,IN,13400,53794.33
46180,IN,480,61145.83
46181,IN,2460,74878.86
46182,IN,880,58430.68
46184,IN,6090,55031.86
46186,IN,840,62527.38
46201,IN,13040,34110.28
46202,IN,9150,79813.88
46203,IN,16930,42106.2
46204,IN,4490,138792.87
46205,IN,13540,61494.53
46208,IN,9160,64893.45
46214,IN,12460,42891.81
46216,IN,1250,62321.6
46217,IN,16710,60265.29
46218,IN,12390,26107.51
46219,IN,17050,43706.98
46220,IN,19760,96903.39
46221,IN,12480,42292.23
46222,IN,14460,29306.43
46224,IN,17120,37054.15
46225,IN,2910,36514.43
46226,IN,19650,40898.12
46227,IN,26720,43130.16
46228,IN,7790,70405.13
46229,IN,13800,41492.46
46231,IN,5200,49659.42
46234,IN,13440,62035.94
46235,IN,14760,35140.72
46236,IN,13500,95574.81
46237,IN,21480,60954.24
46239,IN,15060,61358.76
46240,IN,11230,128225.91
46241,IN,14130,34281.17
46250,IN,10540,81533.97
46254,IN,19070,42964.66
46256,IN,12080,99339.9
46259,IN,6260,93491.53
46260,IN,16570,87872.48
46268,IN,13390,50487.83
46278,IN,4520,146113.72
46280,IN,4260,88247.42
46290,IN,130,255361.54
46303,IN,7960,65866.08
46304,IN,13060,81387.98
46307,IN,33140,78537.15
46310,IN,6560,58504.27
46311,IN,11250,90029.87
46312,IN,10050,32012.34
46319,IN,8920,54116.37
46320,IN,4960,30364.11
46321,IN,11790,98523.16
46322,IN,12600,60683.57
46323,IN,10150,41119.9
46324,IN,9930,41605.74
46327,IN,4450,35446.29
46340,IN,600,59900.0
46341,IN,5050,67798.42
46342,IN,15830,54517.31
46347,IN,2260,66253.54
46348,IN,510,62264.71
46349,IN,1560,59794.87
46350,IN,20750,59658.55
46356,IN,9110,67211.75
46360,IN,19840,51023.03
46365,IN,520,58378.85
46366,IN,2530,50090.91
46368,IN,19550,55708.54
46371,IN,1770,60675.71
46373,IN,8480,104406.01
46374,IN,460,55978.26
46375,IN,12700,83576.93
46381,IN,120,45791.67
46382,IN,1040,66466.35
46383,IN,19030,73623.38
46385,IN,20280,89735.7
46390,IN,1370,61486.86
46391,IN,3050,65580.66
46392,IN,3660,60957.1
46394,IN,5450,49589.17
46402,IN,1790,25448.04
46403,IN,4900,45456.33
46404,IN,6380,31781.97
46405,IN,5160,37610.47
46406,IN,3440,29135.76
46407,IN,3720,26416.67
46408,IN,6230,34682.18
46409,IN,2710,28982.29
46410,IN,18680,48362.42
46501,IN,1720,47088.37
46504,IN,1570,52575.8
46506,IN,4780,62795.4
46507,IN,4530,117609.49
46510,IN,1560,56130.13
46511,IN,1910,62667.02
46514,IN,20620,61152.76
46516,IN,14890,47843.12
46517,IN,10640,52877.73
46524,IN,1020,50097.06
46526,IN,15240,57871.65
46528,IN,12010,62679.18
46530,IN,14850,122777.44
46531,IN,670,49365.67
46532,IN,780,47480.77
46534,IN,4950,47884.24
46536,IN,1520,61896.71
46538,IN,2050,83162.93
46539,IN,1060,50585.85
46540,IN,5650,79742.12
46542,IN,2140,59197.2
46543,IN,1650,65923.64
46544,IN,15480,50072.16
46545,IN,12830,51736.87
46550,IN,5890,68996.6
46552,IN,3150,61169.21
46553,IN,1720,63400.58
46554,IN,2100,58663.81
46555,IN,1530,52603.27
46556,IN,540,69507.41
46561,IN,6700,61169.85
46562,IN,2280,52344.3
46563,IN,10710,53209.9
46565,IN,3830,63049.35
46567,IN,4860,79942.8
46570,IN,490,49769.39
46571,IN,2440,56404.51
46573,IN,1730,70268.21
46574,IN,3830,53143.34
46580,IN,10520,60822.91
46582,IN,6530,67212.1
46590,IN,2100,79944.29
46601,IN,2140,34735.51
46613,IN,4890,29087.32
46614,IN,15190,64067.54
46615,IN,7120,44649.72
46616,IN,2770,43068.59
46617,IN,4420,81795.7
46619,IN,9590,37776.54
46628,IN,12460,48305.22
46635,IN,3070,62812.7
46637,IN,7450,57275.17
46701,IN,3590,54465.74
46702,IN,1030,49580.58
46703,IN,8570,60428.12
46705,IN,840,45371.43
46706,IN,9730,63527.65
46710,IN,2240,58212.05
46711,IN,3150,56005.71
46714,IN,7070,61980.06
46721,IN,2200,51477.73
46723,IN,3740,62294.12
46725,IN,11950,60543.1
46730,IN,650,75709.23
46731,IN,300,60533.33
46732,IN,1410,45246.1
46733,IN,9000,55081.67
46737,IN,3530,66546.18
46738,IN,3900,48064.87
46740,IN,1520,46828.29
46741,IN,1860,64223.66
46742,IN,1630,65013.5
46743,IN,1040,53791.35
46745,IN,970,64235.05
46746,IN,1850,53725.95
46747,IN,1210,53585.12
46748,IN,3300,95791.21
46750,IN,12430,51495.9
46755,IN,7370,51200.54
46759,IN,260,48561.54
46760,IN,580,51401.72
46761,IN,5400,51968.33
46763,IN,790,67453.16
46764,IN,660,57295.45
46765,IN,2580,87674.03
46766,IN,260,49234.62
46767,IN,3830,49074.93
46770,IN,1270,61734.65
46772,IN,1240,48914.52
46773,IN,1770,59406.21
46774,IN,8650,51763.7
46776,IN,750,45473.33
46777,IN,3170,57933.75
46779,IN,980,54397.96
46781,IN,420,52821.43
46783,IN,3530,99017.85
46784,IN,1120,62040.18
46785,IN,680,56802.94
46787,IN,1790,53543.02
46788,IN,1480,77214.86
46791,IN,420,71361.9
46792,IN,1880,53604.26
46793,IN,2030,55736.45
46794,IN,610,50955.74
46795,IN,2950,68173.22
46797,IN,1850,58817.3
46798,IN,620,56819.35
46802,IN,4440,44743.69
46803,IN,3900,27466.67
46804,IN,14460,82769.99
46805,IN,9980,41865.53
46806,IN,10130,28009.67
46807,IN,7640,44366.62
46808,IN,9520,38153.78
46809,IN,4460,42678.92
46814,IN,7220,174887.4
46815,IN,13550,50753.51
46816,IN,8160,37182.84
46818,IN,9960,60768.17
46819,IN,4580,46450.66
46825,IN,14570,56058.06
46835,IN,18380,61543.96
46845,IN,12910,106817.82
46901,IN,17480,49187.3
46902,IN,17840,54460.15
46910,IN,1490,50609.4
46911,IN,620,55856.45
46913,IN,620,63179.03
